LOCATIONID,STATISTICSGROUPCODE,DEPARTMENTCODE,AXBATCHCODE,ZONE,TERRITORY,REGION,DISTRICT,STORE,BUSINESSLINE,BU,BUNAME,BUDTL,COMPANY,COMPANYNAME,STORETYPE,CHAIN,DATAAREAID,,
30260,3026001,3050,NULL,301,307,308,3050,30260,SIS,KOR FP,KOREA FULL PRICE,RLCKOR,AP FP,APAC FULL PRICE,POP-UP,KOR,7107,,
30218,3021801,3134,NULL,304,303,303,3134,30218,Outlet,AP PFS,APAC FACTORY OUTLET,PFSKOR,AP PFS,APAC FACTORY OUTLET,POP-UP,KOR,7107,,
52055,2040304,20403,NULL,503,506,506,5109,52055,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
30157,3015701,3062,NULL,301,307,308,3062,30157,SIS,KOR FP,KOREA FULL PRICE,RLCKOR,AP FP,APAC FULL PRICE,SIS,KOR,7107,,
55996,2030410,20304,NULL,503,506,506,5105,55996,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
55373,S004107,S0041,NULL,504,513,513,5482,55373,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55595,1001027,10010,NULL,503,505,505,5039,55595,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
7474,747401,7474,NULL,755,754,7423,7434,7474,NA,HKG FP,GCSEA FULL PRICE,RLCCHN,AP FP,APAC FULL PRICE,SIS,CN,7105,,
55845,3153012,31530,NULL,503,502,518,5017,55845,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58334,2022508,20225,NULL,503,505,505,5073,58334,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58777,2040305,20403,NULL,503,506,506,5109,58777,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
55453,1241009,12410,NULL,503,505,505,5062,55453,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55579,2071010,20710,NULL,503,506,506,5117,55579,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
74164,7416401,74170,NULL,783,719,176,7470,74164,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
58363,2040406,20404,NULL,503,506,506,5110,58363,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
55967,S027702,S0277,NULL,504,513,513,5579,55967,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
74103,7410301,74100,NULL,783,719,176,7090,74103,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
72056,7205601,72056,NULL,781,711,712,7506,72056,CO,HKG FP,GCSEA FULL PRICE,RLCANZ,AP FP,APAC FULL PRICE,POP-UP,AU,7111,,
74518,7451801,74150,NULL,783,719,176,7084,74518,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
58250,1131011,11310,NULL,503,505,505,5051,58250,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
71007,7100701,71007,NULL,782,712,719,7000,71007,RT,AP PFS,APAC FACTORY OUTLET,PFSANZ,AP PFS,APAC FACTORY OUTLET,FSS,AU,7111,,
58251,1131011,11310,NULL,503,505,505,5051,58251,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58638,1281003,12810,NULL,503,505,505,5063,58638,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58640,1311101,13111,NULL,503,505,505,5064,58640,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58641,1311102,13111,NULL,503,505,505,5064,58641,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58642,2030301,20303,NULL,503,505,505,5075,58642,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58643,2030303,20303,NULL,503,505,505,5075,58643,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58644,2032601,20326,NULL,503,503,503,5388,58644,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58645,2032602,20326,NULL,503,503,503,5388,58645,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58671,2021402,20214,NULL,503,505,505,5070,58671,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55709,S034110,S0341,NULL,504,516,516,5644,55709,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55710,S044301,S0443,NULL,504,513,513,5756,55710,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55716,7031004,70310,NULL,503,508,508,5141,55716,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55717,S044801,S0448,NULL,504,512,512,5764,55717,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55718,S044901,S0449,NULL,504,510,510,5765,55718,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
71008,7100801,71008,NULL,782,712,719,7001,71008,RT,AP PFS,APAC FACTORY OUTLET,PFSANZ,AP PFS,APAC FACTORY OUTLET,FSS,AU,7111,,
72111,7211101,72111,NULL,781,711,714,7119,72111,CO,HKG FP,GCSEA FULL PRICE,RLCANZ,AP FP,APAC FULL PRICE,POP-UP,AU,7111,,
72112,7211201,72112,NULL,781,711,716,7120,72112,CO,HKG FP,GCSEA FULL PRICE,RLCANZ,AP FP,APAC FULL PRICE,POP-UP,AU,7111,,
72113,7211301,72113,NULL,781,711,716,7121,72113,CO,HKG FP,GCSEA FULL PRICE,RLCANZ,AP FP,APAC FULL PRICE,POP-UP,AU,7111,,
72114,7211401,72114,NULL,781,711,716,7122,72114,CO,HKG FP,GCSEA FULL PRICE,RLCANZ,AP FP,APAC FULL PRICE,POP-UP,AU,7111,,
72115,7211501,72115,NULL,781,711,716,7123,72115,CO,HKG FP,GCSEA FULL PRICE,RLCANZ,AP FP,APAC FULL PRICE,POP-UP,AU,7111,,
72116,7211601,72116,NULL,781,711,713,7127,72116,CO,HKG FP,GCSEA FULL PRICE,RLCANZ,AP FP,APAC FULL PRICE,POP-UP,AU,7111,,
10168,NA,NA,NULL,767,782,155,736,10168,NA,AP RLW,APAC WHOLESALE,RLWSEA,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,APWH,7077,,
10169,NA,NA,NULL,767,782,155,736,10169,NA,AP RLW,APAC WHOLESALE,RLWSEA,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,APWH,7077,,
10170,NA,NA,NULL,768,764,724,709,10170,NA,AP RLW,APAC WHOLESALE,RLWHMT,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,APWH,7077,,
55421,S027601,S0276,NULL,504,513,513,5578,55421,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55422,S027701,S0277,NULL,504,513,513,5579,55422,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55423,S027801,S0278,NULL,504,514,514,5580,55423,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55424,S027901,S0279,NULL,504,513,513,5581,55424,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55425,2030308,20303,NULL,503,505,505,5075,55425,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58778,2021708,20217,NULL,503,503,503,5022,58778,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58779,2021708,20217,NULL,503,503,503,5022,58779,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
57018,E000004,E0000,NULL,510,530,591,5475,57018,CK,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57019,E000004,E0000,NULL,510,530,591,5475,57019,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57020,E000004,E0000,NULL,510,530,591,5475,57020,CK,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57021,E000003,E0000,NULL,510,530,591,5474,57021,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57022,E000004,E0000,NULL,510,530,591,5475,57022,CK,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57023,E000005,E0000,NULL,510,530,591,5502,57023,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
55446,S033201,S0332,NULL,504,513,513,5634,55446,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55447,S033301,S0333,NULL,504,513,513,5635,55447,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55448,S033401,S0334,NULL,504,513,513,5636,55448,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55449,S033501,S0335,NULL,504,518,519,5637,55449,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55450,S033502,S0335,NULL,504,518,519,5637,55450,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55452,1290002,12900,NULL,503,505,505,5638,55452,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55454,S025602,S0256,NULL,504,515,515,5557,55454,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55455,S033601,S0336,NULL,504,513,513,5639,55455,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55456,S033701,S0337,NULL,504,514,514,5640,55456,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55457,S033801,S0338,NULL,504,514,514,5641,55457,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55458,S033901,S0339,NULL,504,510,510,5642,55458,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55459,S034001,S0340,NULL,504,513,513,5643,55459,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55460,2021410,20214,NULL,503,505,505,5070,55460,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55461,1001109,10011,NULL,503,505,505,5040,55461,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
71300,7130001,71300,NULL,786,791,7421,7426,71300,EC,ANZRLE,ANZ E-COMMERCE,RLEANZ,ANZRLE,ANZ E-COMMERCE,ECOM,AU,7111,,
71301,7130101,71301,NULL,786,791,7421,7446,71301,EC,ANZRLE,ANZ E-COMMERCE,RLEANZ,ANZRLE,ANZ E-COMMERCE,ECOM,AU,7111,,
71302,7130201,71302,NULL,786,791,7421,7492,71302,EC,ANZRLE,ANZ E-COMMERCE,RLEANZ,ANZRLE,ANZ E-COMMERCE,ECOM,AU,7111,,
71303,7130301,71303,NULL,781,711,191,7498,71303,EC,ANZRLE,ANZ E-COMMERCE,RLEANZ,ANZRLE,ANZ E-COMMERCE,DC-PP,AU,7111,,
59032,S040002,S0400,NULL,504,513,513,5721,59032,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,OFF-SITE,JPN,8000,,
59034,S053401,S0534,NULL,504,513,513,5855,59034,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,OUTPOST,JPN,8000,,
59035,S053401,S0534,NULL,503,505,599,5856,59035,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,DC-OTHER,JPN,8000,,
55580,2071011,20710,NULL,503,506,506,5117,55580,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55581,2071012,20710,NULL,503,506,506,5117,55581,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55582,2071013,20710,NULL,503,506,506,5117,55582,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55583,1241004,12410,NULL,503,505,505,5062,55583,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55584,4355007,99910,NULL,503,502,518,5020,55584,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55585,4355008,99910,NULL,503,502,518,5020,55585,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55586,S040101,S0401,NULL,504,513,513,5722,55586,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55587,S040201,S0402,NULL,504,513,513,5723,55587,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58429,5051003,50510,NULL,503,504,504,5035,58429,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58652,2062501,20625,NULL,503,506,506,5115,58652,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58945,2023201,20232,NULL,503,506,506,5103,58945,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
56104,S010802,S0108,NULL,506,525,526,5360,56104,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,FSS,JPN,8000,,
57024,E000005,E0000,NULL,510,530,591,5502,57024,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
55588,S040401,S0404,NULL,503,505,505,5725,55588,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55825,S047501,S0475,NULL,504,510,510,5792,55825,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
74165,7416501,74170,NULL,783,719,176,7470,74165,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74166,7416601,74170,NULL,783,719,176,7470,74166,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
58022,7071102,70711,NULL,504,511,511,5167,58022,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
10155,NA,NA,NULL,767,765,703,211,10155,NA,AP RLW,APAC WHOLESALE,RLWSEA,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,APWH,7077,,
58702,3002002,30020,NULL,503,502,518,5010,58702,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58703,1023001,10230,NULL,503,505,505,5046,58703,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58704,1332001,13320,NULL,503,505,505,5067,58704,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58705,1800802,18008,NULL,503,505,505,5069,58705,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58706,2001002,20010,NULL,503,506,506,5097,58706,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58707,2004001,20040,NULL,503,506,506,5098,58707,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58708,7070502,70705,NULL,503,503,503,5025,58708,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58709,8011201,80112,NULL,503,507,507,5125,58709,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58710,8151001,81510,NULL,503,507,507,5129,58710,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58711,2011001,20110,NULL,503,506,506,5101,58711,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58821,2021208,20212,NULL,503,506,506,5102,58821,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
58364,2040406,20404,NULL,503,506,506,5110,58364,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58365,2040406,20404,NULL,503,506,506,5110,58365,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58366,2040704,20407,NULL,503,504,504,5033,58366,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58367,2040704,20407,NULL,503,504,504,5033,58367,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58368,2040704,20407,NULL,503,504,504,5033,58368,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
74070,7407001,74001,NULL,783,719,175,7027,74070,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
58023,7071103,70711,NULL,504,511,511,5167,58023,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58828,2021209,20212,NULL,503,506,506,5102,58828,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
72134,7213401,72134,NULL,781,711,713,7438,72134,CO,HKG FP,GCSEA FULL PRICE,RLCANZ,AP FP,APAC FULL PRICE,POP-UP,AU,7111,,
58371,2057701,20577,NULL,504,510,510,5153,58371,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55683,1311109,13111,NULL,503,505,505,5064,55683,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
57047,E000006,E0000,NULL,510,530,591,5551,57047,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57048,E000005,E0000,NULL,510,530,591,5502,57048,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57049,E000008,E0000,NULL,510,530,591,5659,57049,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
55968,S027802,S0278,NULL,504,514,514,5580,55968,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55969,S039003,S0390,NULL,504,513,513,5704,55969,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
7393,739301,7393,NULL,755,754,794,794,7393,NA,HKG FP,GCSEA FULL PRICE,RLCCHN,AP FP,APAC FULL PRICE,DC-PP,CN,7105,,
7438,743801,7438,NULL,755,754,164,223,7438,NA,HKG FP,GCSEA FULL PRICE,RLCCHN,AP FP,APAC FULL PRICE,SIS,CN,7105,,
30071,3007101,3114,NULL,301,313,314,3114,30071,SIS,KOR FP,KOREA FULL PRICE,RLCKOR,AP FP,APAC FULL PRICE,POP-UP,KOR,7107,,
30418,3041801,3055,NULL,301,309,310,3055,30418,SIS,KOR FP,KOREA FULL PRICE,RLCKOR,AP FP,APAC FULL PRICE,SIS,KOR,7107,,
51016,1132003,11320,NULL,503,505,505,5053,51016,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
53016,7491803,74918,NULL,504,515,515,5235,53016,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55197,7070508,70705,NULL,503,503,503,5025,55197,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55329,1136206,11362,NULL,504,514,514,5216,55329,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55435,S032101,S0321,NULL,504,513,513,5623,55435,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55451,1290001,12900,NULL,503,505,505,5638,55451,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55575,6081007,60810,NULL,503,509,509,5146,55575,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55668,8261004,82610,NULL,504,515,515,5243,55668,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
74104,7410401,74100,NULL,783,719,176,7090,74104,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74105,7410501,74100,NULL,783,719,176,7090,74105,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74106,7410601,74106,NULL,783,719,177,7093,74106,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74107,7410701,74106,NULL,783,719,177,7093,74107,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74108,7410801,74108,NULL,783,719,177,7095,74108,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74109,7410901,74108,NULL,783,719,177,7095,74109,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
